id,current_price,market_cap,price_change_percentage_24h,high_24h,low_24h,ath,atl,time_stamp
xdce-crowd-sale,0.079425,1246601783,-0.85965,0.080151,0.077809,0.192754,0.00039532,30-04-2025__17h37m25s
binance-staked-sol,155.06,1220233915,-0.76182,157.26,152.27,297.96,100.21,30-04-2025__17h37m25s
nexo,1.22,1218704907,-0.80666,1.23,1.2,4.07,0.04515276,30-04-2025__17h37m25s
fartcoin,1.16,1161045962,3.00961,1.16,1.092,2.48,0.02002855,30-04-2025__17h37m25s
flare-networks,0.01835194,1159552240,1.76414,0.0192058,0.01787054,0.150073,0.00827405,30-04-2025__17h37m25s
story-2,4.13,1113119373,0.17525,4.15,3.97,7.31,1.0,30-04-2025__17h37m25s
quant-network,75.65,1100720303,-0.7377,76.33,74.45,427.42,0.215773,30-04-2025__17h37m25s
binance-peg-weth,1813.65,1097643652,-0.86291,1832.82,1783.92,4098.26,1394.32,30-04-2025__17h37m25s
sei-network,0.211667,1081103509,-1.7906,0.215527,0.209033,1.14,0.095364,30-04-2025__17h37m25s
immutable-x,0.583559,1060106449,1.14417,0.585183,0.566176,9.52,0.353994,30-04-2025__17h37m25s
eos,0.690962,1048226779,0.2064,0.70527,0.677101,22.71,0.402746,30-04-2025__17h37m25s
kelp-dao-restaked-eth,1889.85,1034079520,-0.71993,1904.4,1858.77,4216.2,1459.69,30-04-2025__17h37m25s
usdt0,1.0,1024955015,0.00069,1.002,0.998164,1.052,0.975737,30-04-2025__17h37m25s
injective-protocol,9.71,951550964,-1.75168,9.96,9.47,52.62,0.657401,30-04-2025__17h37m25s
the-graph,0.098136,937233644,-1.48513,0.100224,0.096028,2.84,0.052051,30-04-2025__17h37m25s
curve-dao-token,0.672551,899495527,1.32272,0.674328,0.642675,15.37,0.180354,30-04-2025__17h37m25s
floki,9.237e-05,898528889,10.14838,9.377e-05,8.246e-05,0.00034495,8.428e-08,30-04-2025__17h37m25s
binance-bridged-usdc-bnb-smart-chain,0.999405,898471507,-0.0724,1.002,0.998135,1.031,0.942892,30-04-2025__17h37m25s
wbnb,601.95,884169929,-0.33555,604.27,598.91,789.32,23.6,30-04-2025__17h37m25s
paypal-usd,0.999689,879754207,-0.03187,1.0,0.999259,1.021,0.959426,30-04-2025__17h37m25s
virtual-protocol,1.32,854214872,-10.0273,1.49,1.28,5.07,0.00748604,30-04-2025__17h37m25s
rocket-pool-eth,2057.65,850439720,-0.83221,2076.47,2027.17,4814.31,887.26,30-04-2025__17h37m25s
raydium,2.85,827627713,-2.38739,2.97,2.79,16.83,0.134391,30-04-2025__17h37m25s
jasmycoin,0.01703129,825713674,2.49497,0.01724363,0.01620953,4.79,0.00275026,30-04-2025__17h37m25s
tether-gold,3283.83,809926936,-0.89663,3327.22,3281.71,3530.16,1447.84,30-04-2025__17h37m25s
polygon-bridged-usdt-polygon,1.0,791189108,-0.01926,1.001,1.0,1.027,0.945933,30-04-2025__17h37m25s
coredaoorg,0.79085,791080902,-0.9197,0.807444,0.787504,6.14,0.334237,30-04-2025__17h37m25s
iota,0.209225,783987162,-1.53681,0.213596,0.205189,5.25,0.081637,30-04-2025__17h37m25s
pax-gold,3285.31,779985067,-0.87124,3330.53,3283.04,3518.57,1399.64,30-04-2025__17h37m25s
theta-token,0.75721,758060127,-2.97118,0.78213,0.737454,15.72,0.04039979,30-04-2025__17h37m25s
arbitrum-bridged-wbtc-arbitrum-one,95070.0,757355059,-0.0572,95576.0,93793.0,108397.0,49594.0,30-04-2025__17h37m25s
gala,0.01706487,754738324,-0.93268,0.01736368,0.01654269,0.824837,0.00013475,30-04-2025__17h37m25s
bitcoin-cash-sv,37.96,754562742,-2.60743,39.63,37.8,489.75,21.43,30-04-2025__17h37m25s
lido-dao,0.839481,752798968,-1.88754,0.855632,0.81746,7.3,0.40615,30-04-2025__17h37m25s
jupiter-staked-sol,163.3,748852736,-0.78578,165.76,160.38,309.67,105.7,30-04-2025__17h37m25s
dexe,13.06,745734464,0.49633,13.61,12.92,32.38,0.671563,30-04-2025__17h37m25s
clbtc,95029.0,733764079,-0.41044,96124.0,92776.0,104078.0,51493.0,30-04-2025__17h37m25s
msol,190.55,728878574,-0.78645,193.21,187.13,363.77,8.93,30-04-2025__17h37m25s
the-sandbox,0.297883,728292240,-0.52152,0.303929,0.288319,8.4,0.02897764,30-04-2025__17h37m25s
helium,3.98,721449005,-2.72372,4.12,3.89,54.88,0.113248,30-04-2025__17h37m25s
walrus-2,0.564762,705833597,-5.60822,0.598317,0.554968,0.68517,0.360808,30-04-2025__17h37m25s
bittorrent,7.1065e-07,700734543,0.37019,7.13297e-07,7.02268e-07,3.43e-06,3.65368e-07,30-04-2025__17h37m25s
mantle-staked-ether,1930.5,686212416,-0.75235,1948.22,1896.01,4729.53,1485.62,30-04-2025__17h37m25s
kaia,0.115207,674716044,-3.19655,0.119946,0.114131,0.406698,0.090737,30-04-2025__17h37m25s
pudgy-penguins,0.01063595,666247780,-13.10805,0.01224043,0.01055936,0.068447,0.00371517,30-04-2025__17h37m25s
pancakeswap-token,2.07,656411703,0.53083,2.08,2.01,43.96,0.194441,30-04-2025__17h37m25s
usual-usd,0.997802,655596801,0.00405,0.998131,0.997498,1.33,0.962885,30-04-2025__17h37m25s
solayer,3.06,642605607,-2.52638,3.29,3.04,3.29,0.599884,30-04-2025__17h37m25s
flow,0.405537,640365268,-0.2206,0.414291,0.397505,42.4,0.303987,30-04-2025__17h37m25s
usdx-money-usdx,0.999695,626504647,0.02098,1.0,0.998075,1.057,0.944423,30-04-2025__17h37m25s
based-brett,0.0631,626430358,-3.35728,0.065594,0.058923,0.234204,0.00084753,30-04-2025__17h37m25s
movement,0.248432,621998037,0.12513,0.250157,0.235529,1.45,0.218077,30-04-2025__17h37m25s
dogwifcoin,0.609561,608930410,2.53152,0.617196,0.584446,4.83,0.00155464,30-04-2025__17h37m25s
chain-2,0.01825865,607182886,-1.97262,0.01896341,0.01801499,0.184139,0.0007055,30-04-2025__17h37m25s
ethereum-name-service,18.23,604322162,-3.46345,18.94,17.84,83.4,6.69,30-04-2025__17h37m25s
ondo-us-dollar-yield,1.1,593186248,-0.50009,1.12,1.092,1.26,0.934184,30-04-2025__17h37m25s
decentraland,0.317013,592087704,-0.49834,0.319739,0.306948,5.85,0.00923681,30-04-2025__17h37m25s
jito-governance-token,1.83,589480903,-1.57352,1.9,1.77,6.01,1.43,30-04-2025__17h37m25s
tezos,0.561861,584911868,0.67812,0.568729,0.549248,9.12,0.350476,30-04-2025__17h37m25s
renzo-restaked-eth,1899.53,584836724,-0.78183,1915.35,1867.0,4207.05,1454.43,30-04-2025__17h37m25s
zcash,36.03,580009941,-1.27634,36.53,33.99,3191.93,16.08,30-04-2025__17h37m25s
pyth-network,0.154235,559503814,-1.77029,0.157886,0.150138,1.2,0.10565,30-04-2025__17h37m25s
pendle,3.46,558883987,2.7314,3.45,3.28,7.5,0.03377729,30-04-2025__17h37m25s
spx6900,0.567699,526583870,-0.95902,0.580356,0.539049,1.72,0.00131808,30-04-2025__17h37m25s
reserve-rights-token,0.00901709,512115439,-4.4304,0.0094351,0.0089016,0.117424,0.00121354,30-04-2025__17h37m25s
beldex,0.071189,508567066,2.35248,0.071177,0.067458,0.450785,0.00027519,30-04-2025__17h37m25s
aerodrome-finance,0.618486,499555768,-1.38874,0.631906,0.603296,2.32,1.861e-05,30-04-2025__17h37m25s
dydx-chain,0.651087,498265002,-1.09118,0.663322,0.633011,4.52,0.495631,30-04-2025__17h37m25s
solv-protocol-solvbtc-bbn,94745.0,495144534,0.04732,95675.0,93225.0,117077.0,11402.13,30-04-2025__17h37m25s
true-usd,0.998451,494964114,-0.07775,1.001,0.997309,1.62,0.88355,30-04-2025__17h37m25s
aioz-network,0.419237,493031221,-0.99991,0.436929,0.405987,2.65,0.01099588,30-04-2025__17h37m25s
elrond-erd-2,17.41,490360005,1.20892,17.51,16.64,545.64,6.51,30-04-2025__17h37m25s
telcoin,0.00530281,488621862,-0.82723,0.00538402,0.00520447,0.064483,6.474e-05,30-04-2025__17h37m25s
ubtc,95658.0,487703341,-0.46744,97391.0,94597.0,97391.0,74362.0,30-04-2025__17h37m25s
deep,0.194056,485971679,-6.9674,0.213463,0.192315,0.341085,0.01073218,30-04-2025__17h37m25s
bitcoin-avalanche-bridged-btc-b,95391.0,485120877,0.31724,95360.0,93731.0,108820.0,7806.11,30-04-2025__17h37m25s
thorchain,1.37,482457664,-0.3504,1.39,1.34,20.87,0.00851264,30-04-2025__17h37m25s
stakewise-v3-oseth,1897.0,480234460,-0.84684,1915.2,1863.47,4228.59,1459.73,30-04-2025__17h37m25s
mantra-dao,0.49924,477531919,-4.96736,0.537707,0.480948,8.99,0.01726188,30-04-2025__17h37m25s
kava,0.440599,477497199,-1.03357,0.449294,0.433228,9.12,0.247359,30-04-2025__17h37m25s
sonic-bridged-usdc-e-sonic,0.99988,475343260,-0.01164,1.003,0.996099,1.046,0.949963,30-04-2025__17h37m25s
bridged-usdc-polygon-pos-bridge,0.999879,470136616,-0.01202,1.0,0.999841,1.028,0.975633,30-04-2025__17h37m25s
pumpbtc,90650.0,461371527,-1.27727,92525.0,77634.0,107240.0,48890.0,30-04-2025__17h37m25s
binance-peg-dogecoin,0.175671,450649428,-1.78832,0.179696,0.1731,0.480585,0.04955727,30-04-2025__17h37m25s
arweave,6.79,443884300,-3.17624,7.1,6.65,89.24,0.298788,30-04-2025__17h37m25s
ecash,2.234e-05,443508108,0.21305,2.249e-05,2.192e-05,0.00038001,1.604e-05,30-04-2025__17h37m25s
grass,1.59,438455003,-2.38962,1.65,1.56,3.89,0.654959,30-04-2025__17h37m25s
neo,6.19,436116117,-0.04047,6.29,6.06,198.38,0.078349,30-04-2025__17h37m25s
apecoin,0.543437,434466957,-0.16378,0.545856,0.520545,26.7,0.354833,30-04-2025__17h37m25s
tbtc,95011.0,434028806,-0.09643,95215.0,93435.0,108501.0,10104.3,30-04-2025__17h37m25s
starknet,0.147825,428560879,-2.00576,0.152069,0.143678,4.41,0.11,30-04-2025__17h37m25s
l2-standard-bridged-weth-base,1814.72,423378629,-0.85661,1831.3,1783.03,4096.05,1394.17,30-04-2025__17h37m25s
ousg,110.87,420593511,0.01097,110.87,110.86,110.87,95.09,30-04-2025__17h37m25s
matic-network,0.242462,418626489,0.97678,0.24249,0.233973,2.92,0.00314376,30-04-2025__17h37m25s
conflux-token,0.080873,415161277,2.00731,0.085313,0.078465,1.7,0.02199898,30-04-2025__17h37m25s
apenft,4.17268e-07,413050033,-1.11789,4.23207e-07,4.16266e-07,7.53e-06,2.98737e-07,30-04-2025__17h37m25s
axie-infinity,2.55,410077665,0.09584,2.59,2.47,164.9,0.123718,30-04-2025__17h37m25s
hashnote-usyc,1.085,407592344,-0.00991,1.085,1.085,1.12,1.026,30-04-2025__17h37m25s
usdb,1.002,406583801,0.14113,1.004,0.998286,1.088,0.882623,30-04-2025__17h37m25s
wormhole,0.08861,403043653,-0.45256,0.089868,0.085412,1.66,0.065244,30-04-2025__17h37m25s
chiliz,0.04187701,400846802,-0.14474,0.04209084,0.04045318,0.878633,0.00410887,30-04-2025__17h37m25s
berachain-bera,3.63,396647895,-5.0572,3.83,3.6,14.83,3.23,30-04-2025__17h37m25s
super-oeth,1815.04,392579643,-0.8461,1831.45,1783.12,4099.87,1312.97,30-04-2025__17h37m25s
mantle-restaked-eth,1931.37,388326340,-0.88775,1948.67,1897.34,4298.87,1480.7,30-04-2025__17h37m25s
beam-2,0.00740063,386811825,3.58897,0.00738588,0.00698213,0.04416304,0.0043383,30-04-2025__17h37m25s
plume,0.192339,384101600,12.68265,0.192516,0.168767,0.247537,0.084391,30-04-2025__17h37m25s
compound-governance-token,41.86,374121472,-0.23464,42.25,40.61,910.54,25.74,30-04-2025__17h37m25s
akash-network,1.53,371920010,14.75198,1.55,1.28,8.07,0.164994,30-04-2025__17h37m25s
popcat,0.380141,370923782,2.50299,0.383863,0.353833,2.05,0.00379728,30-04-2025__17h37m25s
just,0.03740333,370084554,-3.73387,0.03885409,0.03674838,0.193254,0.00476275,30-04-2025__17h37m25s
axelar,0.393293,369582943,7.18256,0.410281,0.36434,2.64,0.274681,30-04-2025__17h37m25s
arbitrum-bridged-weth-arbitrum-one,1815.47,369378272,-0.80584,1832.23,1782.1,4097.16,1395.31,30-04-2025__17h37m25s
olympus,21.6,354319793,-0.56818,21.77,21.47,1415.26,7.54,30-04-2025__17h37m25s
amp-token,0.00420324,354254191,3.30597,0.00423794,0.00404873,0.120813,0.00140933,30-04-2025__17h37m25s
ronin,0.558965,352910927,-0.51543,0.566772,0.547343,4.45,0.196601,30-04-2025__17h37m25s
ether-fi-staked-eth,1813.52,350412166,-0.54053,1828.33,1783.96,5307.23,1394.71,30-04-2025__17h37m25s
mantle-bridged-usdt-mantle,0.997736,349993515,-0.25471,1.005,0.995603,1.26,0.869914,30-04-2025__17h37m25s
saros-finance,0.132288,347364903,0.98473,0.132366,0.129648,0.167611,0.00101093,30-04-2025__17h37m25s
mimblewimblecoin,31.62,347085780,6.19638,31.94,29.56,38.81,0.298733,30-04-2025__17h37m25s
sun-token,0.01762523,339226798,-1.36941,0.0178705,0.01751024,66.45,0.00462303,30-04-2025__17h37m25s
trust-wallet-token,0.805394,335600557,-1.15536,0.815503,0.792804,2.72,0.00277641,30-04-2025__17h37m25s
terra-luna,6.126e-05,333427367,-0.53723,6.212e-05,6.017e-05,119.18,9.99967e-07,30-04-2025__17h37m25s
usdd,1.0,326512972,-0.01865,1.001,0.999612,1.052,0.928067,30-04-2025__17h37m25s
cgeth-hashkey-cloud,1821.99,324762158,-2.54462,1870.09,1821.93,3129.19,1430.7,30-04-2025__17h37m25s
turbo,0.00469172,323989586,-3.04485,0.00484359,0.00461504,0.01431669,6.518e-05,30-04-2025__17h37m25s
binance-peg-busd,0.998501,323786240,-0.06521,1.004,0.995771,1.064,0.954278,30-04-2025__17h37m25s
creditcoin-2,0.711948,319994894,-1.10023,0.736598,0.705884,8.67,0.128298,30-04-2025__17h37m25s
frax,0.999878,319803136,-0.0112,1.0,0.99756,1.14,0.874536,30-04-2025__17h37m25s
layerzero,2.87,318575560,-2.59492,3.0,2.81,7.47,1.51,30-04-2025__17h37m25s
ripple-usd,0.999487,316997791,-0.07044,1.003,0.998612,1.073,0.962292,30-04-2025__17h37m25s
superfarm,0.697717,315093762,-4.3694,0.732604,0.678956,4.74,0.070397,30-04-2025__17h37m25s
wemix-token,0.731182,306979325,0.30731,0.763247,0.725008,24.71,0.128398,30-04-2025__17h37m25s
polygon-bridged-wbtc-polygon-pos,95078.0,306772674,0.00992,95371.0,93810.0,108124.0,49937.0,30-04-2025__17h37m25s
ai16z,0.28057,305735659,-7.05549,0.313302,0.267807,2.47,0.010189,30-04-2025__17h37m25s
safe,0.522657,302949215,-14.40269,0.619902,0.51999,3.56,0.356678,30-04-2025__17h37m25s
mina-protocol,0.242329,297583591,-0.04192,0.245936,0.236117,9.09,0.18424,30-04-2025__17h37m25s
cheems-token,1.45e-06,294798297,3.90375,1.45e-06,1.37e-06,2.16e-06,5.725e-09,30-04-2025__17h37m25s
gnosis,113.37,293503406,-0.17452,114.54,112.63,644.2,6.88,30-04-2025__17h37m25s
infrared-bera,3.64,293384445,-4.9229,3.83,3.62,8.98,3.14,30-04-2025__17h37m25s
dash,23.88,292834042,1.61995,24.35,22.88,1493.59,0.213899,30-04-2025__17h37m25s
stakestone-berachain-vault-token,1802.96,290651225,-0.87117,1822.84,1772.51,3453.2,1373.59,30-04-2025__17h37m25s
venom,0.139638,289346717,-0.33481,0.140806,0.138212,0.782403,0.03459851,30-04-2025__17h37m25s
1inch,0.207725,287901275,0.34982,0.20937,0.203927,8.65,0.149574,30-04-2025__17h37m25s
morpho,1.21,287791071,0.43053,1.27,1.19,4.17,0.713151,30-04-2025__17h37m25s
resolv-usr,0.99984,282476911,0.03435,0.999979,0.999248,1.022,0.959194,30-04-2025__17h37m25s
wrapped-hype,18.75,281638026,-0.55848,19.11,18.21,25.53,9.43,30-04-2025__17h37m25s
honey-3,0.999337,280922758,-0.08014,1.0,0.997485,1.11,0.916153,30-04-2025__17h37m25s
ether-fi-staked-btc,95182.0,277757724,0.43036,95349.0,93373.0,109069.0,58795.0,30-04-2025__17h37m25s
notcoin,0.0026925,277213543,2.26911,0.00272563,0.00252129,0.02836145,0.00160895,30-04-2025__17h37m25s
dog-go-to-the-moon-rune,0.00277222,276898658,-1.05632,0.00296212,0.00268566,0.0099237,0.00100496,30-04-2025__17h37m25s
golem,0.27582,275649141,-0.20246,0.280461,0.269837,1.32,0.00913753,30-04-2025__17h37m25s
quorium,3280.95,275600206,-1.04842,3389.57,2914.82,14721.58,1170.65,30-04-2025__17h37m25s
stader-ethx,1916.71,267275062,-0.95113,1938.1,1885.05,4275.3,1474.49,30-04-2025__17h37m25s
mx-token,2.81,265136942,-0.71477,2.85,2.8,5.85,0.04218457,30-04-2025__17h37m25s
aethir,0.031249,264650189,3.43901,0.03189446,0.02961046,0.118536,0.02439678,30-04-2025__17h37m25s
safepal,0.528321,264195289,-1.06885,0.534734,0.524941,4.19,0.269235,30-04-2025__17h37m25s
cat-in-a-dogs-world,0.00295807,262898542,0.51003,0.0029913,0.00280242,0.01288153,0.00091206,30-04-2025__17h37m25s
theta-fuel,0.03785632,262102586,-1.87044,0.03956416,0.03738393,0.68159,0.00090804,30-04-2025__17h37m25s
kusama,15.66,257475168,-3.32922,16.39,15.47,621.71,0.876572,30-04-2025__17h37m25s
snek,0.00345429,257101931,-3.72214,0.00358784,0.00341028,0.00895508,0.00013847,30-04-2025__17h37m25s
compound-wrapped-btc,1911.6,256442405,0.01968,1916.75,1885.01,2187.46,91.15,30-04-2025__17h37m25s
blur,0.110179,254846991,-1.10435,0.111678,0.107744,5.02,0.081869,30-04-2025__17h37m25s
eigenlayer,0.95695,250794992,0.06755,0.962998,0.914097,5.65,0.668501,30-04-2025__17h37m25s
wrapped-avax,21.67,248627016,-1.84386,22.2,21.32,2000.68,7.91,30-04-2025__17h37m25s
ket,0.247618,248523316,-3.75603,0.269844,0.244103,0.530549,0.0085598,30-04-2025__17h37m25s
zilliqa,0.01276739,248089794,-1.27832,0.01307562,0.01256346,0.255376,0.00239616,30-04-2025__17h37m25s
havven,0.730414,247763790,-0.65827,0.737489,0.699403,28.53,0.0347864,30-04-2025__17h37m25s
syrupusdc,1.097,246307199,0.07679,1.097,1.096,1.097,1.07,30-04-2025__17h37m25s
mog-coin,6.17968e-07,242081412,-4.01428,6.44368e-07,5.90233e-07,4.02e-06,4.526e-09,30-04-2025__17h37m25s
coinbase-wrapped-staked-eth,1991.42,241367047,-0.79047,2007.76,1956.72,4434.57,1036.96,30-04-2025__17h37m25s
mocaverse,0.090566,241135116,-5.76865,0.096111,0.089083,0.477373,0.060926,30-04-2025__17h37m25s
